cve_id,vendor_project,product,threat_name,date_added,short_description,required_action,due_date,pub_date,cvss,cwe,Type,complexity,severity,results
CVE-2020-17087,microsoft,Windows,Microsoft Windows Kernel Cryptography Driver Privilege Escalation Vulnerability,03-11-21,Windows Kernel Local Privilege Escalation Vulnerability,Apply updates per vendor instructions.,03-05-22,11-11-20,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,0
CVE-2021-33742,microsoft,Microsoft MSHTML,Microsoft MSHTML Platform Remote Code Execution Vulnerability,03-11-21,Microsoft MSHTML Remote Code Execution Vulnerability,Apply updates per vendor instructions.,17-11-21,08-06-21,8.8,NVD-CWE-noinfo,NETWORK,LOW,HIGH,0
CVE-2021-31199,microsoft,Microsoft Enhanced Cryptographic Provider,Microsoft Enhanced Cryptographic Provider Privilege Escalation Vulnerabilities,03-11-21,Microsoft Enhanced Cryptographic Provider Privilege Escalation Vulnerability. This CVE ID is unique from CVE-2021-31201.,Apply updates per vendor instructions.,17-11-21,08-06-21,7.8,CWE-269,LOCAL,LOW,HIGH,0
CVE-2021-33771,microsoft,Windows,Microsoft Windows Kernel Privilege Escalation Vulnerability,03-11-21,"Windows Kernel Privilege Escalation Vulnerability. This CVE ID is unique from CVE-2021-31979, CVE-2021-34514.",Apply updates per vendor instructions.,17-11-21,14-07-21,7.8,CWE-269,LOCAL,LOW,HIGH,0
CVE-2021-31956,microsoft,Windows,Microsoft Windows NTFS Privilege Escalation Vulnerability,03-11-21,Windows NTFS Privilege Escalation Vulnerability,Apply updates per vendor instructions.,17-11-21,08-06-21,7.8,CWE-269,LOCAL,LOW,HIGH,0
CVE-2021-31201,microsoft,Microsoft Enhanced Cryptographic Provider,Microsoft Enhanced Cryptographic Provider Privilege Escalation Vulnerabilities,03-11-21,Microsoft Enhanced Cryptographic Provider Privilege Escalation Vulnerability. This CVE ID is unique from CVE-2021-31199.,Apply updates per vendor instructions.,17-11-21,08-06-21,7.8,CWE-269,LOCAL,LOW,HIGH,0
CVE-2021-31979,microsoft,Windows,Microsoft Windows Kernel Privilege Escalation Vulnerability,03-11-21,"Windows Kernel Privilege Escalation Vulnerability. This CVE ID is unique from CVE-2021-33771, CVE-2021-34514.",Apply updates per vendor instructions.,17-11-21,14-07-21,7.8,CWE-269,LOCAL,LOW,HIGH,0
CVE-2020-0938,microsoft,"Windows, Windows Adobe Type Manager Library",Microsoft Windows Type 1 Font Parsing Remote Code Execution Vulnerability,03-11-21,A remote code execution vulnerability exists in Microsoft Windows when the Windows Adobe Type Manager Library improperly handles a specially-crafted multi-master font - Adobe Type 1 PostScript format. This CVE ID is unique from CVE-2020-1020.,Apply updates per vendor instructions.,03-05-22,15-04-20,7.8,CWE-787,LOCAL,LOW,HIGH,0
CVE-2020-17144,microsoft,Microsoft Exchange Server,Microsoft Exchange Remote Code Execution Vulnerability,03-11-21,"Microsoft Exchange Remote Code Execution Vulnerability. This CVE ID is unique from CVE-2020-17117, CVE-2020-17132, CVE-2020-17141, CVE-2020-17142.",Apply updates per vendor instructions.,03-05-22,10-12-20,8.4,NVD-CWE-noinfo,NETWORK,LOW,HIGH,0
CVE-2020-0986,microsoft,Windows,Microsoft Windows Kernel Privilege Escalation Vulnerability,03-11-21,"A privilege escalation vulnerability exists when the Windows kernel fails to properly handle objects in memory, aka 'Windows Kernel Elevation of Privilege Vulnerability'. This CVE ID is unique from CVE-2020-1237, CVE-2020-1246, CVE-2020-1262, CVE-2020-1264, CVE-2020-1266, CVE-2020-1269, CVE-2020-1273, CVE-2020-1274, CVE-2020-1275, CVE-2020-1276, CVE-2020-1307, CVE-2020-1316.",Apply updates per vendor instructions.,03-05-22,09-06-20,7.8,CWE-787,LOCAL,LOW,HIGH,0
CVE-2020-1020,microsoft,"Windows, Windows Adobe Type Manager Library",Microsoft Windows Type 1 Font Parsing Remote Code Execution Vulnerability,03-11-21,A remote code execution vulnerability exists in Microsoft Windows when the Windows Adobe Type Manager Library improperly handles a specially-crafted multi-master font - Adobe Type 1 PostScript format. This CVE ID is unique from CVE-2020-0938.,Apply updates per vendor instructions.,03-05-22,15-04-20,8.8,NVD-CWE-noinfo,NETWORK,LOW,HIGH,0
CVE-2021-38645,microsoft,Microsoft Azure Open Management Infrastructure (OMI),Microsoft Azure Open Management Infrastructure (OMI) Privilege Escalation Vulnerability,03-11-21,Open Management Infrastructure Privilege Escalation Vulnerability,Apply updates per vendor instructions.,17-11-21,15-09-21,7.8,CWE-269,LOCAL,LOW,HIGH,0
CVE-2021-34523,microsoft,Microsoft Exchange Server,Microsoft Exchange Server Privilege Escalation Vulnerability,03-11-21,"Microsoft Exchange Server Privilege Escalation Vulnerability. This CVE ID is unique from CVE-2021-33768, CVE-2021-34470.",Apply updates per vendor instructions.,17-11-21,14-07-21,9.8,CWE-269,NETWORK,LOW,CRITICAL,1
CVE-2017-7269,microsoft,Internet Information Services (IIS),Microsft Windows Server 2003 R2 IIS WEBDAV buffer overflow Remote Code Execution vulnerability (COVID-19-CTI list),03-11-21,"Buffer overflow in the ScStoragePathFromUrl function in the WebDAV service in Internet Information Services (IIS) 6.0 in Microsoft Windows Server 2003 R2 allows remote attackers to execute arbitrary code via a long header beginning with ""If: <http://"" in a PROPFIND request.",Apply updates per vendor instructions.,03-05-22,27-03-17,9.8,CWE-119,NETWORK,LOW,CRITICAL,1
CVE-2021-36948,microsoft,Windows,Microsoft Windows Update Medic Service Privilege Escalation Vulnerability,03-11-21,Windows Update Medic Service Privilege Escalation Vulnerability,Apply updates per vendor instructions.,17-11-21,12-08-21,7.8,CWE-269,LOCAL,LOW,HIGH,0
CVE-2021-38649,microsoft,Microsoft Azure Open Management Infrastructure (OMI),Microsoft Azure Open Management Infrastructure (OMI) Privilege Escalation Vulnerability,03-11-21,Open Management Infrastructure Privilege Escalation Vulnerability,Apply updates per vendor instructions.,17-11-21,15-09-21,7.8,CWE-269,LOCAL,LOW,HIGH,0
CVE-2020-0688,microsoft,Microsoft Exchange Server,Microsoft Exchange Server Key Validation Vulnerability,03-11-21,"A remote code execution vulnerability exists in Microsoft Exchange software when the software fails to properly handle objects in memory, aka 'Microsoft Exchange Memory Corruption Vulnerability'.",Apply updates per vendor instructions.,03-05-22,11-02-20,8.8,CWE-798,NETWORK,LOW,HIGH,0
CVE-2017-0143,microsoft,SMBv1 server,Microsoft Windows SMBv1 Remote Code Execution Vulnerability,03-11-21,"The SMBv1 server allows remote attackers to execute arbitrary code via crafted packets, aka ""Windows SMB Remote Code Execution Vulnerability."" This vulnerability is different from those described in CVE-2017-0144, CVE-2017-0145, CVE-2017-0146, and CVE-2017-0148.",Apply updates per vendor instructions.,03-05-22,17-03-17,8.1,CWE-20,NETWORK,HIGH,HIGH,0
CVE-2016-7255,microsoft,Windows,"Microsoft Windows Vista, 7, 8.1, 10 and Windows Server 2008, 2012, and 2016 Win32k Privilege Escalation Vulnerability",03-11-21,"The kernel-mode drivers allow local users to gain privileges via a crafted application, aka ""Win32k Elevation of Privilege Vulnerability""",Apply updates per vendor instructions.,03-05-22,10-11-16,7.8,CWE-264,LOCAL,LOW,HIGH,0
CVE-2019-0708,microsoft,Remote Desktop Services,"""BlueKeep"" Microsoft Windows Remote Desktop Remote Code Execution Vulnerability",03-11-21,A remote code execution vulnerability exists in Remote Desktop Services formerly known as Terminal Services when an unauthenticated attacker connects to the target system using RDP and sends specially crafted requests.,Apply updates per vendor instructions.,03-05-22,16-05-19,9.8,CWE-416,NETWORK,LOW,CRITICAL,1
CVE-2021-34473,microsoft,Microsoft Exchange Server,Microsoft Exchange Server Remote Code Execution Vulnerability,03-11-21,"Microsoft Exchange Server Remote Code Execution Vulnerability. This CVE ID is unique from CVE-2021-31196, CVE-2021-31206.",Apply updates per vendor instructions.,17-11-21,14-07-21,9.8,NVD-CWE-noinfo,NETWORK,LOW,CRITICAL,1
CVE-2020-1464,microsoft,Windows,Microsoft Windows Spoofing Vulnerability,03-11-21,A spoofing vulnerability exists when Windows incorrectly validates file signatures.,Apply updates per vendor instructions.,03-05-22,17-08-20,5.5,CWE-347,LOCAL,LOW,MEDIUM,2
CVE-2021-1732,microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability,03-11-21,Windows Win32k Privilege Escalation Vulnerability. This CVE ID is unique from CVE-2021-1698.,Apply updates per vendor instructions.,17-11-21,25-02-21,7.8,CWE-269,LOCAL,LOW,HIGH,0
CVE-2021-34527,microsoft,Windows,"""PrintNightmare"" - Microsoft Windows Print Spooler Remote Code Execution Vulnerability",03-11-21,Windows Print Spooler Remote Code Execution Vulnerability,Apply updates per vendor instructions.,20-07-21,02-07-21,8.8,CWE-269,NETWORK,LOW,HIGH,0
CVE-2021-31207,microsoft,Microsoft Exchange Server,Microsoft Exchange Server Security Feature Bypass Vulnerability,03-11-21,Microsoft Exchange Server Security Feature Bypass Vulnerability,Apply updates per vendor instructions.,17-11-21,11-05-21,7.2,NVD-CWE-noinfo,NETWORK,LOW,HIGH,0
CVE-2019-0803,microsoft,Win32k,Microsoft Win32k Escalation Kernel Vulnerability,03-11-21,"A privilege escalation vulnerability exists in Windows when the Win32k component fails to properly handle objects in memory, aka 'Win32k Elevation of Privilege Vulnerability'. This CVE ID is unique from CVE-2019-0685, CVE-2019-0859.",Apply updates per vendor instructions.,03-05-22,09-04-19,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,0
CVE-2020-1040,microsoft,Hyper-V RemoteFX vGPU,Hyper-V RemoteFX vGPU Remote Code Execution Vulnerability,03-11-21,"A remote code execution vulnerability exists when Hyper-V RemoteFX vGPU on a host server fails to properly validate input from an authenticated user on a guest operating system. This CVE ID is unique from CVE-2020-1032, CVE-2020-1036, CVE-2020-1041, CVE-2020-1042, CVE-2020-1043.",Apply updates per vendor instructions.,03-05-22,14-07-20,9.0,CWE-20,ADJACENT_NETWORK,LOW,CRITICAL,1
CVE-2021-28310,microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability,03-11-21,Win32k Privilege Escalation Vulnerability. This CVE ID is unique from CVE-2021-27072.,Apply updates per vendor instructions.,17-11-21,13-04-21,7.8,CWE-269,LOCAL,LOW,HIGH,0
CVE-2020-1350,microsoft,Windows,"""SigRed"" - Microsoft Windows Domain Name System (DNS) Server Remote Code Execution Vulnerability",03-11-21,A remote code execution vulnerability exists in Windows Domain Name System servers when they fail to properly handle requests.,Apply updates per vendor instructions.,24-07-20,14-07-20,10.0,"CWE-787,CWE-190",NETWORK,LOW,CRITICAL,1
CVE-2021-26411,microsoft,"Microsoft Edge, Internet Explorer",Microsoft Internet Explorer and Edge Memory Corruption Vulnerability,03-11-21,Internet Explorer Memory Corruption Vulnerability,Apply updates per vendor instructions.,17-11-21,11-03-21,7.5,CWE-119,NETWORK,HIGH,HIGH,0
CVE-2019-0859,microsoft,Win32k,Microsoft Win32k Escalation Kernel Vulnerability,03-11-21,"A privilege escalation vulnerability exists in Windows when the Win32k component fails to properly handle objects in memory, aka 'Win32k Elevation of Privilege Vulnerability'. This CVE ID is unique from CVE-2019-0685, CVE-2019-0803.",Apply updates per vendor instructions.,03-05-22,09-04-19,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,0
CVE-2021-40444,microsoft,Microsoft MSHTML,"Microsoft Windows, Server (spec. IE) All Arbitrary Code Execution",03-11-21,Microsoft MSHTML Remote Code Execution Vulnerability,Apply updates per vendor instructions.,17-11-21,15-09-21,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,0
CVE-2017-8759,microsoft,Microsoft .NET Framework,.NET Framework Remote Code Execution vulnerability,03-11-21,"Microsoft .NET Framework 2.0, 3.5, 3.5.1, 4.5.2, 4.6, 4.6.1, 4.6.2 and 4.7 allow an attacker to execute code remotely via a malicious document or application.",Apply updates per vendor instructions.,03-05-22,13-09-17,7.8,CWE-20,LOCAL,LOW,HIGH,0
CVE-2018-8653,microsoft,Internet Explorer Scripting Engine,Microsoft Internet Explorer Scripting Engine JScript Memory Corruption Vulnerability,03-11-21,"A remote code execution vulnerability exists in the way that the scripting engine handles objects in memory in Internet Explorer, aka ""Scripting Engine Memory Corruption Vulnerability."" This CVE ID is unique from CVE-2018-8643.",Apply updates per vendor instructions.,03-05-22,20-12-18,7.5,CWE-787,NETWORK,HIGH,HIGH,0
CVE-2019-0797,microsoft,Win32k,Microsoft Win32k.sys Driver Vulnerability,03-11-21,"A privilege escalation vulnerability exists in Windows when the Win32k component fails to properly handle objects in memory, aka 'Win32k Elevation of Privilege Vulnerability'. This CVE ID is unique from CVE-2019-0808.",Apply updates per vendor instructions.,03-05-22,09-04-19,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,0
CVE-2021-36942,microsoft,Windows,Microsoft Windows Local Security Authority (LSA) Spoofing,03-11-21,"Windows Local Security Authority (LSA) Spoofing Vulnerability ""PetitPotam""",Apply updates per vendor instructions.,17-11-21,12-08-21,5.3,CWE-290,NETWORK,LOW,MEDIUM,2
CVE-2019-1215,microsoft,Windows,Microsoft Windows Winsock (ws2ifsl.sys) Vulnerability,03-11-21,"A privilege escalation vulnerability exists in the way that ws2ifsl.sys (Winsock) handles objects in memory, aka 'Windows Elevation of Privilege Vulnerability'. This CVE ID is unique from CVE-2019-1253, CVE-2019-1278, CVE-2019-1303.",Apply updates per vendor instructions.,03-05-22,11-09-19,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,0
CVE-2018-0798,microsoft,Office,Microsoft Office 2007 - 2016 Backdoor Exploitation Chain,03-11-21,"Allows a remote code execution vulnerability due to the way objects are handled in memory, aka ""Microsoft Office Memory Corruption Vulnerability"".",Apply updates per vendor instructions.,03-05-22,10-01-18,8.8,CWE-787,NETWORK,LOW,HIGH,0
CVE-2018-0802,microsoft,Office,Microsoft Office 2007 - 2016 Backdoor Exploitation Chain,03-11-21,"Allows a remote code execution vulnerability due to the way objects are handled in memory, aka ""Microsoft Office Memory Corruption Vulnerability"". This CVE is unique from CVE-2018-0797 and CVE-2018-0812.",Apply updates per vendor instructions.,03-05-22,10-01-18,7.8,CWE-787,LOCAL,LOW,HIGH,0
CVE-2012-0158,microsoft,MSCOMCTL.OCX,Microsoft MSCOMCTL.OCX Remote Code Execution Vulnerability,03-11-21,"Allows remote attackers to execute arbitrary code via a crafted (a) web site, (b) Office document, or (c) .rtf file that triggers ""system state"" corruption, as exploited in the wild in April 2012, aka ""MSCOMCTL.OCX Remote Code Execution Vulnerability.",Apply updates per vendor instructions.,03-05-22,10-04-12,,CWE-94,,,MEDIUM,2
CVE-2015-1641,microsoft,Office,Microsoft Office Memory Corruption vulnerability,03-11-21,"Allows remote attackers to execute arbitrary code via a crafted RTF document, aka ""Microsoft Office Memory Corruption Vulnerability.""",Apply updates per vendor instructions.,03-05-22,14-04-15,,CWE-399,,,MEDIUM,2
CVE-2021-27085,microsoft,Internet Explorer,Internet Explorer 11 Remote Code Execution Vulnerability,03-11-21,Internet Explorer Remote Code Execution Vulnerability,Apply updates per vendor instructions.,17-11-21,11-03-21,7.5,NVD-CWE-noinfo,NETWORK,HIGH,HIGH,0
CVE-2019-0541,microsoft,MSHTML engine,Microsoft MSHTML Engine Remote Code Execution Vulnerability,03-11-21,"A remote code execution vulnerability exists in the way that the MSHTML engine improperly validates input, aka ""MSHTML Engine Remote Code Execution Vulnerability.",Apply updates per vendor instructions.,03-05-22,08-01-19,8.8,CWE-77,NETWORK,LOW,HIGH,0
CVE-2017-11882,microsoft,Office,Microsoft Office memory corruption vulnerability,03-11-21,"Allows an attacker to run arbitrary code in the context of the current user by failing to properly handle objects in memory, aka ""Microsoft Office Memory Corruption Vulnerability"". This CVE ID is unique from CVE-2017-11884.",Apply updates per vendor instructions.,03-05-22,15-11-17,7.8,CWE-119,LOCAL,LOW,HIGH,0
CVE-2020-0674,microsoft,Internet Explorer Scripting Engine,Internet Explorer 9-11 Scripting Engine Memory Corruption Vulnerability,03-11-21,"A remote code execution vulnerability exists in the way that the scripting engine handles objects in memory in Internet Explorer. This CVE ID is unique from CVE-2020-0673, CVE-2020-0710, CVE-2020-0711, CVE-2020-0712, CVE-2020-0713, CVE-2020-0767.",Apply updates per vendor instructions.,03-05-22,11-02-20,7.5,CWE-416,NETWORK,HIGH,HIGH,0
CVE-2021-27059,microsoft,Office,Microsoft Office Remote Code Execution Vulnerability,03-11-21,"Microsoft Office Remote Code Execution Vulnerability. This CVE ID is unique from CVE-2021-24108, CVE-2021-27057.",Apply updates per vendor instructions.,17-11-21,11-03-21,6.8,NVD-CWE-noinfo,NETWORK,LOW,MEDIUM,2
CVE-2019-1367,microsoft,Internet Explorer Scripting Engine,Internet Explorer 9-11 Scripting Engine Memory Corruption Vulnerability,03-11-21,A remote code execution vulnerability exists in the way that the scripting engine handles objects in memory in Internet Explorer. This CVE ID is unique from CVE-2019-1221.,Apply updates per vendor instructions.,03-05-22,23-09-19,7.5,CWE-787,NETWORK,HIGH,HIGH,0
CVE-2017-0199,microsoft,"Windows, Windows Server, Office",Microsoft Office/WordPad Remote Code Execution Vulnerability with Windows API,03-11-21,"Allows remote attackers to execute arbitrary code via a crafted document, aka ""Microsoft Office/WordPad Remote Code Execution Vulnerability w/Windows API.""",Apply updates per vendor instructions.,03-05-22,12-04-17,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,0
CVE-2020-1380,microsoft,Internet Explorer,Scripting Engine Memory Corruption Vulnerability,03-11-21,"A remote code execution vulnerability exists in the way that the scripting engine handles objects in memory in Internet Explorer, aka 'Scripting Engine Memory Corruption Vulnerability'. This CVE ID is unique from CVE-2020-1555, CVE-2020-1570.",Apply updates per vendor instructions.,03-05-22,17-08-20,7.5,CWE-787,NETWORK,HIGH,HIGH,0
CVE-2019-1429,microsoft,Internet Explorer Scripting Engine,Internet Explorer 9-11 Scripting Engine Memory Corruption Vulnerability,03-11-21,"A remote code execution vulnerability exists in the way that the scripting engine handles objects in memory in Internet Explorer. This CVE ID is unique from CVE-2019-1426, CVE-2019-1427, CVE-2019-1428.",Apply updates per vendor instructions.,03-05-22,12-11-19,7.5,"CWE-787,CWE-416",NETWORK,HIGH,HIGH,0
CVE-2017-11774,microsoft,Microsoft Outlook,Microsoft Outlook Security Feature Bypass Vulnerability,03-11-21,"Allows an attacker to execute arbitrary commands, due to how Microsoft Office handles objects in memory, aka ""Microsoft Outlook Security Feature Bypass Vulnerability.""",Apply updates per vendor instructions.,03-05-22,13-10-17,7.8,CWE-119,LOCAL,LOW,HIGH,0
CVE-2020-0968,microsoft,Internet Explorer Scripting Engine,Internet Explorer Scripting Engine Memory Corruption Vulnerability,03-11-21,A remote code execution vulnerability exists in the way that the scripting engine handles objects in memory in Internet Explorer. This CVE ID is unique from CVE-2020-0970.,Apply updates per vendor instructions.,03-05-22,15-04-20,7.5,CWE-787,NETWORK,HIGH,HIGH,0
CVE-2020-1472,microsoft,Netlogon Remote Protocol (MS-NRPC),NetLogon Privilege Escalation Vulnerability,03-11-21,"A privilege escalation vulnerability exists when an attacker establishes a vulnerable Netlogon secure channel connection to a domain controller, using the Netlogon Remote Protocol (MS-NRPC), aka 'Netlogon Elevation of Privilege Vulnerability'.",Apply updates per vendor instructions.,21-09-20,17-08-20,10.0,CWE-330,NETWORK,LOW,CRITICAL,1
CVE-2021-26855,microsoft,Microsoft Exchange Server,Microsoft OWA Exchange Control Panel (ECP) Exploit Chain,03-11-21,"Microsoft Exchange Server Remote Code Execution Vulnerability. This CVE ID is unique from CVE-2021-26412, CVE-2021-26854, CVE-2021-26857, CVE-2021-26858, CVE-2021-27065, CVE-2021-27078.",Apply updates per vendor instructions.,16-04-21,03-03-21,9.8,NVD-CWE-noinfo,NETWORK,LOW,CRITICAL,1
CVE-2021-26858,microsoft,Microsoft Exchange Server,Microsoft OWA Exchange Control Panel (ECP) Exploit Chain,03-11-21,"Microsoft Exchange Server Remote Code Execution Vulnerability. This CVE ID is unique from CVE-2021-26412, CVE-2021-26854, CVE-2021-26855, CVE-2021-26857, CVE-2021-27065, CVE-2021-27078.",Apply updates per vendor instructions.,16-04-21,03-03-21,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,0
CVE-2021-27065,microsoft,Microsoft Exchange Server,Microsoft OWA Exchange Control Panel (ECP) Exploit Chain,03-11-21,"Microsoft Exchange Server Remote Code Execution Vulnerability. This CVE ID is unique from CVE-2021-26412, CVE-2021-26854, CVE-2021-26855, CVE-2021-26857, CVE-2021-26858, CVE-2021-27078.",Apply updates per vendor instructions.,16-04-21,03-03-21,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,0
CVE-2020-1054,microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability,03-11-21,A privilege escalation vulnerability exists in Windows when the Windows kernel-mode driver fails to properly handle objects in memory,Apply updates per vendor instructions.,03-05-22,21-05-20,7.8,CWE-787,LOCAL,LOW,HIGH,0
CVE-2021-1675,microsoft,Windows,Microsoft Windows Print Spooler Remote Code Execution Vulnerability,03-11-21,Windows Print Spooler Privilege Escalation Vulnerability,Apply updates per vendor instructions.,17-11-21,08-06-21,8.8,CWE-269,NETWORK,LOW,HIGH,0
CVE-2021-34448,microsoft,Scripting Engine,Microsoft Scripting Engine Memory Corruption Vulnerability,03-11-21,Scripting Engine Memory Corruption Vulnerability,Apply updates per vendor instructions.,17-11-21,16-07-21,8.8,CWE-787,NETWORK,LOW,HIGH,0
CVE-2020-0601,microsoft,Windows CryptoAPI,Microsoft Windows 10 API/ECC Vulnerability,03-11-21,"A spoofing vulnerability exists in the way Windows CryptoAPI (Crypt32.dll) validates Elliptic Curve Cryptography (ECC) certificates. An attacker could exploit the vulnerability by using a spoofed code-signing certificate to sign a malicious executable, making it appear the file was from a trusted, legitimate source, aka 'Windows CryptoAPI Spoofing Vulnerability'.",Apply updates per vendor instructions.,29-01-20,14-01-20,8.1,CWE-295,NETWORK,LOW,HIGH,0
CVE-2019-0604,microsoft,SharePoint,Microsoft SharePoint Remote Code Execution Vulnerability,03-11-21,"A remote code execution vulnerability exists in Microsoft SharePoint when the software fails to check the source markup of an application package, aka 'Microsoft SharePoint Remote Code Execution Vulnerability'. This CVE ID is unique from CVE-2019-0594.",Apply updates per vendor instructions.,03-05-22,05-03-19,9.8,CWE-20,NETWORK,LOW,CRITICAL,1
CVE-2020-0646,microsoft,Microsoft .NET Framework,Microsoft .NET Framework Remote Code Execution Vulnerability,03-11-21,"A remote code execution vulnerability exists when the Microsoft .NET Framework fails to validate input properly, aka '.NET Framework Remote Code Execution Injection Vulnerability'.",Apply updates per vendor instructions.,03-05-22,14-01-20,9.8,CWE-78,NETWORK,LOW,CRITICAL,1
CVE-2019-0808,microsoft,Windows,Microsoft Windows 7 win32k.sys Driver Vulnerability,03-11-21,"A privilege escalation vulnerability exists in Windows when the Win32k component fails to properly handle objects in memory, aka 'Win32k Elevation of Privilege Vulnerability'. This CVE ID is unique from CVE-2019-0797.",Apply updates per vendor instructions.,03-05-22,09-04-19,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,0
CVE-2021-26857,microsoft,Microsoft Exchange Server,Microsoft Unified Messaging Deserialization Vulnerability,03-11-21,"Microsoft Exchange Server Remote Code Execution Vulnerability. This CVE ID is unique from CVE-2021-26412, CVE-2021-26854, CVE-2021-26855, CVE-2021-26858, CVE-2021-27065, CVE-2021-27078.",Apply updates per vendor instructions.,16-04-21,03-03-21,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,0
CVE-2020-1147,microsoft,"Microsoft .NET Framework, Microsoft SharePoint, Visual Studio","Microsoft .NET Framework, SharePoint Server, and Visual Studio Remote Code Execution Vulnerability",03-11-21,"A remote code execution vulnerability exists in .NET Framework, Microsoft SharePoint, and Visual Studio when the software fails to check the source markup of XML file input.",Apply updates per vendor instructions.,03-05-22,14-07-20,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,0
CVE-2019-1214,microsoft,Windows,Microsoft Windows Common Log File System (CLFS) Driver Vulnerability,03-11-21,"A privilege escalation vulnerability exists when the Windows Common Log File System (CLFS) driver improperly handles objects in memory, aka 'Windows Common Log File System Driver Elevation of Privilege Vulnerability'.",Apply updates per vendor instructions.,03-05-22,11-09-19,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,0
CVE-2016-3235,microsoft,Microsoft Visio/Office,Microsoft Visio/Office OLE DLL Side Loading vulnerability,03-11-21,"Allows local users to gain privileges via a crafted application, aka ""Microsoft Office OLE DLL Side Loading Vulnerability.""",Apply updates per vendor instructions.,03-05-22,16-06-16,7.8,CWE-264,LOCAL,LOW,HIGH,0
CVE-2019-0863,microsoft,Windows,Microsoft Windows Error Reporting (WER) Vulnerability,03-11-21,"A privilege escalation vulnerability exists in the way Windows Error Reporting (WER) handles files, aka 'Windows Error Reporting Elevation of Privilege Vulnerability'.",Apply updates per vendor instructions.,03-05-22,16-05-19,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,0
CVE-2021-36955,microsoft,Windows,Microsoft Windows Common Log File System (CLFS) Driver Privilege Escalation Vulnerability,03-11-21,Microsoft Windows Common Log File System Driver contains an unspecified vulnerability which allows for privilege escalation.,Apply updates per vendor instructions.,17-11-21,15-09-21,7.8,CWE-269,LOCAL,LOW,HIGH,0
CVE-2021-38648,microsoft,Microsoft Azure Open Management Infrastructure (OMI),Microsoft Azure Open Management Infrastructure (OMI) Privilege Escalation Vulnerability,03-11-21,Open Management Infrastructure Privilege Escalation Vulnerability,Apply updates per vendor instructions.,17-11-21,15-09-21,7.8,CWE-269,LOCAL,LOW,HIGH,0
CVE-2020-6819,mozilla,nsDocShell destructor,Mozilla Firefox 74 and Firefox ESR 68.6 nsDocShell vulnerability,03-11-21,"A race condition can cause a use-after-free when running the nsDocShell destructor. This vulnerability affects Thunderbird < 68.7.0, Firefox < 74.0.1, and Firefox ESR < 68.6.1.",Apply updates per vendor instructions.,03-05-22,24-04-20,8.1,"CWE-787,CWE-416",NETWORK,HIGH,HIGH,0
CVE-2020-6820,mozilla,ReadableStream,Mozilla Firefox 74 and Firefox ESR 68.6 ReadableStream vulnerability,03-11-21,"A race condition can cause a use-after-free when handling a ReadableStream. This vulnerability affects Thunderbird < 68.7.0, Firefox < 74.0.1, and Firefox ESR < 68.6.1.",Apply updates per vendor instructions.,03-05-22,24-04-20,8.1,"CWE-362,CWE-416",NETWORK,HIGH,HIGH,0
CVE-2019-17026,mozilla,IonMonkey JIT compiler,Mozilla Firefox IonMonkey JIT compiler Type Confusion Vulnerability,03-11-21,"Incorrect alias information in IonMonkey JIT compiler for setting array elements could lead to a type confusion. This vulnerability affects Firefox ESR < 68.4.1, Thunderbird < 68.4.1, and Firefox < 72.0.1",Apply updates per vendor instructions.,03-05-22,02-03-20,8.8,CWE-843,NETWORK,LOW,HIGH,0
CVE-2019-15949,nagios,Nagios XI,Nagios XI Remote Code Execution Vulnerability,03-11-21,"The exploit requires access to the server as the nagios user, or access as the admin user via the web interface. The getprofile.sh script, invoked by downloading a system profile (profile.php?cmd=download), is executed as root via a passwordless sudo entry; the script executes check_plugin, which is owned by the nagios user",Apply updates per vendor instructions.,03-05-22,05-09-19,8.8,CWE-78,NETWORK,LOW,HIGH,0
CVE-2020-26919,netgear,NETGEAR JGS516PE devices,Netgear ProSAFE Plus JGS516PE Remote Code Execution vulnerability,03-11-21,NETGEAR JGS516PE devices before 2.6.0.43 are affected by lack of access control at the function level.,Apply updates per vendor instructions.,03-05-22,09-10-20,9.8,NVD-CWE-Other,NETWORK,LOW,CRITICAL,1
